product,date,price,volume,best_bid,best_ask
BTC-USD,1637121887027,59098.37,0.00006753,59098.36,59098.37
BTC-USD,1637121887167,59098.37,0.00008598,59098.36,59098.37
BTC-USD,1637121887257,59098.36,0.003211,59098.36,59098.37
BTC-USD,1637121887378,59098.37,0.00080844,59098.36,59098.37
BTC-USD,1637121887526,59098.36,0.00085043,59098.36,59098.37
BTC-USD,1637121887815,59098.37,0.00169986,59098.36,59098.37
BTC-USD,1637121887915,59098.37,0.00497653,59098.36,59098.37
BTC-USD,1637121888295,59098.36,0.00305766,59098.36,59098.37
BTC-USD,1637121888435,59098.37,0.00080846,59098.36,59098.37
BTC-USD,1637121888464,59098.37,0.00407449,59098.36,59098.37
BTC-USD,1637121888476,59098.37,0.00080827,59098.36,59098.37
BTC-USD,1637121888568,59098.37,0.00553024,59098.36,59098.37
BTC-USD,1637121888568,59098.37,0.00062241,59098.36,59098.37
BTC-USD,1637121889011,59098.37,0.00047156,59098.36,59098.37
BTC-USD,1637121889377,59098.37,0.01,59098.36,59098.37
BTC-USD,1637121889385,59098.37,0.00285504,59098.36,59098.37
BTC-USD,1637121889385,59098.37,0.00050628,59098.36,59098.37
BTC-USD,1637121889385,59098.37,0.04663868,59098.36,59098.37
BTC-USD,1637121889402,59098.37,0.12,59098.36,59098.37
BTC-USD,1637121889412,59098.37,0.03,59098.36,59098.37
BTC-USD,1637121889418,59098.37,0.11701,59098.36,59098.37
BTC-USD,1637121889421,59098.37,0.00000132,59098.36,59098.38
BTC-USD,1637121889421,59098.38,0.01394901,59098.36,59110.08
BTC-USD,1637121889461,59110.16,0.00057888,59110.07,59110.16
BTC-USD,1637121889499,59110.08,0.00841671,59110.07,59110.08
BTC-USD,1637121889880,59110.16,0.00404828,59110.15,59110.16
BTC-USD,1637121890013,59110.16,0.00331673,59110.15,59110.16
BTC-USD,1637121890079,59110.16,0.00080846,59110.15,59110.16
BTC-USD,1637121890431,59110.21,0.00031172,59110.20,59110.21
BTC-USD,1637121890526,59110.2,0.10694,59110.20,59110.21
BTC-USD,1637121890526,59110.2,0.0839,59110.20,59110.21
BTC-USD,1637121890526,59110.2,0.014057,59110.20,59110.21
